timestamp,hour,day_type,temperature,humidity,occupancy,current_energy,target_energy
2025-01-01 00:00,0,Weekday,23.2,73,8,151.11,120.89
2025-01-01 01:00,1,Weekday,28.6,56,12,185.41,148.33
2025-01-01 02:00,2,Weekday,28.1,62,9,171.23,136.98
2025-01-01 03:00,3,Weekday,29.7,63,13,198.18,158.54
2025-01-01 04:00,4,Weekday,32.3,59,11,197.26,157.81
2025-01-01 05:00,5,Weekday,35.9,57,4,239.69,191.75
2025-01-01 06:00,6,Weekday,33.1,57,10,213.77,171.02
2025-01-01 07:00,7,Weekday,36.4,59,26,302.8,278.58
2025-01-01 08:00,8,Weekday,32.3,61,54,329.42,303.07
2025-01-01 09:00,9,Weekday,32.7,60,65,363.7,334.6
2025-01-01 10:00,10,Weekday,30.1,63,88,431.07,396.58
2025-01-01 11:00,11,Weekday,26.1,68,75,386.43,355.52
2025-01-01 12:00,12,Weekday,22.0,68,83,352.04,323.88
2025-01-01 13:00,13,Weekday,21.6,65,74,321.5,295.78
2025-01-01 14:00,14,Weekday,20.5,77,67,308.41,283.74
2025-01-01 15:00,15,Weekday,16.5,78,66,335.47,308.63
2025-01-01 16:00,16,Weekday,15.1,79,92,413.7,380.6
2025-01-01 17:00,17,Weekday,13.0,82,81,378.05,347.81
2025-01-01 18:00,18,Weekday,12.6,86,56,278.78,256.48
2025-01-01 19:00,19,Weekday,14.8,81,32,214.3,197.16
2025-01-01 20:00,20,Weekday,14.2,83,51,286.09,263.2
2025-01-01 21:00,21,Weekday,20.4,74,5,144.12,115.3
2025-01-01 22:00,22,Weekday,16.8,82,3,127.42,101.94
2025-01-01 23:00,23,Weekday,20.0,80,13,161.63,129.3
2025-01-02 00:00,0,Weekday,23.6,72,8,123.76,99.01
2025-01-02 01:00,1,Weekday,25.1,58,7,154.98,123.98
2025-01-02 02:00,2,Weekday,27.4,69,6,155.21,124.17
2025-01-02 03:00,3,Weekday,30.3,59,10,198.2,158.56
2025-01-02 04:00,4,Weekday,32.6,52,13,211.71,169.37
2025-01-02 05:00,5,Weekday,32.2,58,18,238.34,190.67
2025-01-02 06:00,6,Weekday,36.2,59,2,186.12,148.9
2025-01-02 07:00,7,Weekday,35.9,58,25,272.95,251.11
2025-01-02 08:00,8,Weekday,30.7,59,30,261.54,240.62
2025-01-02 09:00,9,Weekday,33.2,61,93,505.46,465.02
2025-01-02 10:00,10,Weekday,28.3,68,75,405.0,372.6
2025-01-02 11:00,11,Weekday,27.9,68,78,394.28,362.74
2025-01-02 12:00,12,Weekday,22.4,73,79,343.21,315.75
2025-01-02 13:00,13,Weekday,23.7,72,77,364.9,335.71
2025-01-02 14:00,14,Weekday,19.3,69,84,356.58,328.05
2025-01-02 15:00,15,Weekday,18.0,78,75,364.61,335.44
2025-01-02 16:00,16,Weekday,16.8,79,61,293.98,270.46
2025-01-02 17:00,17,Weekday,13.1,85,78,358.45,329.77
2025-01-02 18:00,18,Weekday,15.4,79,43,258.8,238.1
2025-01-02 19:00,19,Weekday,16.0,81,54,279.53,257.17
2025-01-02 20:00,20,Weekday,18.1,78,44,234.13,215.4
2025-01-02 21:00,21,Weekday,17.9,77,2,120.25,96.2
2025-01-02 22:00,22,Weekday,20.2,79,17,177.37,141.9
2025-01-02 23:00,23,Weekday,22.8,73,2,171.92,137.54
2025-01-03 00:00,0,Weekday,24.5,69,15,182.66,146.13
2025-01-03 01:00,1,Weekday,26.5,72,3,128.85,103.08
2025-01-03 02:00,2,Weekday,26.9,66,16,176.75,141.4
2025-01-03 03:00,3,Weekday,32.5,59,4,202.86,162.29
2025-01-03 04:00,4,Weekday,32.3,62,15,238.5,190.8
2025-01-03 05:00,5,Weekday,33.6,54,4,199.85,159.88
2025-01-03 06:00,6,Weekday,32.6,57,2,205.45,164.36
2025-01-03 07:00,7,Weekday,33.8,54,22,266.71,245.37
2025-01-03 08:00,8,Weekday,30.9,67,51,315.37,290.14
2025-01-03 09:00,9,Weekday,29.5,66,85,434.99,400.19
2025-01-03 10:00,10,Weekday,28.0,58,88,425.85,391.78
2025-01-03 11:00,11,Weekday,24.4,75,66,321.31,295.61
2025-01-03 12:00,12,Weekday,23.8,67,60,301.03,276.95
2025-01-03 13:00,13,Weekday,20.8,71,91,394.23,362.69
